eia_id,state,area_m2,plant_year,longitude,latitude,open water,"developed, open space","developed, low intensity","developed, medium intensity","developed, high intensity",barren land,deciduous forest,evergreen forest,mixed forest,shrub/scrub,herbaceous,hay/pasture,cultivated crops,woody wetlands,emergent herbaceous wetlands,,,,,,,,,,,,,,,,,
63385,CA,64705.59406,2014,-118.5107193,34.4338684,0.000,0.118,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.735,0.147,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
63486,CA,85968.09709,2019,-121.6351776,36.615654,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,,,,,,,,,,,,,,,,,
63516,CA,49273.13096,2018,-117.9833832,35.1577911,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
63651,CA,122401.7433,2012,-119.3081436,35.7772102,0.000,0.000,0.215,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.785,0.000,0.000,,,,,,,,,,,,,,,,,
59081,MA,55382.54799,2014,-70.3953629,41.6593056,0.000,0.000,0.000,0.000,0.000,0.556,0.000,0.000,0.063,0.095,0.063,0.222,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
60866,MA,29746.11733,2017,-70.8828201,42.7916679,0.000,0.000,0.032,0.129,0.000,0.000,0.226,0.000,0.161,0.000,0.000,0.097,0.000,0.000,0.355,,,,,,,,,,,,,,,,,
61016,MA,57796.40236,2017,-71.8746185,42.224968,0.000,0.000,0.000,0.000,0.000,0.000,0.328,0.000,0.000,0.000,0.672,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
61017,MA,41313.0208,2018,-71.8735962,42.2278099,0.000,0.000,0.000,0.000,0.000,0.000,0.171,0.000,0.000,0.439,0.390,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
61018,MA,9499.077945,2017,-71.8695526,42.2271652,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
62688,CA,29845.72049,2017,-121.7372894,37.2275352,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.361,0.639,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
